NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Dammartin-sur-Tigeaux	901.8	77154	593	731	2.9034798954	48.8087394518	104012.620788559	74154.1817305498	520.0631039428	370.7709086527
Ivry-sur-Seine	612.8	94041	53619	50972	2.3880178652	48.8125807847	66160.2609178331	74751.1223395895	330.8013045892	373.7556116979
Malakoff	207.8	92046	30959	29402	2.2964247841	48.8163969285	59438.07070861	75231.4561381396	297.1903535431	376.1572806907
Saint-Maurice	148.3	94069	11157	12748	2.4385627694	48.8180459509	69876.280953498	75331.20446599	349.3814047675	376.65602233
Meudon	998.7	92048	45339	43663	2.226761688	48.8043138876	54309.752459064	73935.8372862199	271.5487622953	369.6791864311
Saint-Cyr-l'Ecole	513.1	78545	14829	14566	2.0655785389	48.8067533654	42475.177944625	74335.0719510298	212.3758897231	371.6753597551
Meilleray	775.4	77287	363	398	3.4179444957	48.7982873857	141801.4928766	73068.9346472295	709.007464383	365.3446732361
Le Plessis-Trévise	432.3	94059	14583	16656	2.5764462522	48.8059241774	79993.366042803	73920.24980669	399.966830214	369.6012490335
Neauphle-le-Château	218.3	78442	2499	2771	1.9051277384	48.8124864477	30700.853268094	75123.8929641396	153.5042663405	375.6194648207
Millemont	582.8	78404	173	206	1.7257267881	48.8081688315	17520.128070781	74841.5100739496	87.6006403539	374.2075503697
Montrouge	208.9	92049	38106	37733	2.3170236821	48.8150463124	60949.2978969511	75068.0054257596	304.7464894848	375.3400271288
Houdan	1041.9	78310	2912	3112	1.5962984132	48.7987990959	7997.505304035	73961.0352104194	39.9875265202	369.8051760521
Chailly-en-Brie	1794.6	77070	926	1180	3.1337284714	48.7926489867	120925.361820965	72369.0780590195	604.6268091048	361.8453902951
Gentilly	117.8	94037	17093	16118	2.3441903627	48.8135131218	62942.721043698	74880.6232424499	314.7136052185	374.4031162123
La Queue-les-Yvelines	579.8	78513	1811	1844	1.7681402976	48.8028105202	20625.372032108	74196.3630579393	103.1268601605	370.9818152897
Chaville	357.1	92022	17784	17966	2.1917872401	48.8072228805	51744.410643267	74284.9943704596	258.7220532163	371.4249718523
Crèvecoeur-en-Brie	924.8	77144	268	299	2.9066255503	48.7560681805	104236.715813185	68297.5113175297	521.1835790659	341.4875565876
Saint-Augustin	1035.5	77400	1249	1413	3.0290666574	48.7900268399	113236.619650015	72069.5994094796	566.1830982501	360.3479970474
Alfortville	367.8	94002	36119	36232	2.4207955063	48.7953584598	68553.1960432701	72818.0715406593	342.7659802164	364.0903577033
Maisons-Alfort	538.3	94046	53375	51103	2.4376006171	48.8056086053	69795.7842454411	73948.8268016092	348.9789212272	369.744134008
Clamart	876.6	92023	47227	48572	2.2543925955	48.7970244425	56331.422918332	73105.8462345395	281.6571145917	365.5292311727
Pontault-Combault	1357.2	77373	26804	32886	2.6137773467	48.7872551184	82724.962910775	71830.4206330599	413.6248145539	359.1521031653
Pontcarré	968.1	77374	1748	1816	2.7076261489	48.7964253255	89623.8762454831	72820.4078679001	448.1193812274	364.1020393395
