nomcom,surf,insee,pop90,pop99,lon,lat,gares,tx_hlm,dece9909,jeunesse,p09_pop,p99_pop,d90_pop,d82_pop,d75_pop,d68_pop,median,tx_appart
Saint-Denis-lès-Rebais,1512.40000000000,77406,716.00000000000,780.00000000000,3.1997594877144,48.8454446674902,0,0,41,1.95913978494624,944,780,716,564,409,378,22299,0
Villiers-sur-Morin,628.60000000000,77521,1358.00000000000,1527.00000000000,2.8685131925514,48.8495573153955,55.733495747029,0,97,2.30135301353013,1795,1527,1358,1054,830,597,24513,6.61798127329475
Champlan,373.20000000000,91136,2491.00000000000,2458.00000000000,2.27839373895204,48.7082687244296,99.8675769660668,24.8593568007436,160,1.96746031746032,2503,2460,2491,2446,2421,1859,22622,22.6564941432559
Aulnoy,1429.80000000000,77013,296.00000000000,332.00000000000,3.08923605822785,48.8485690327033,0,0,18,1.7910447761194,388,332,296,287,240,251,25410,1.42099681866384
Rocquencourt,285.50000000000,78524,3871.00000000000,3218.00000000000,2.10488171808029,48.8327804753455,68.4617554267926,19.8489836931503,211,0.652569750367107,3247,3233,3871,4034,2030,886,36665,95.0119932757922
Serris,565.30000000000,77449,898.00000000000,2320.00000000000,2.78707581487212,48.8452008002278,66.4757586288308,20.2797270001446,82,11.7617370892019,7402,2320,898,422,304,232,22323,68.1940475539941
Fontenay-sous-Bois,557.90000000000,94033,51868.00000000000,50921.00000000000,2.47529095387164,48.8512578934686,99.999999973659,55.6399352479642,3820,1.80092640247041,53258,50865,51868,52627,46475,38962,21771,73.672648281326
Autouillet,510.40000000000,78036,251.00000000000,348.00000000000,1.79703252346583,48.8439596529867,0,0,18,1.65020576131687,466,349,251,270,189,149,29173,4.67836257309941
Montenils,532.50000000000,77304,36.00000000000,40.00000000000,3.47857684974557,48.835318769462,0,0,2,1.72222222222222,36,40,36,36,49,75,,0
Bailly,659.60000000000,78043,4145.00000000000,4094.00000000000,2.08097494187222,48.8370376307249,99.9874480682951,20.9824557007843,139,1.52757793764988,3942,4091,4145,3679,1885,1191,36276,58.9906728847435
Pommeuse,1282.20000000000,77371,1808.00000000000,2476.00000000000,3.00592998639602,48.8178500289166,70.3646158205146,30.9392272439968,156,2.39012345679012,2756,2473,1808,1518,1370,1317,21690,9.38968956259632
Neauphle-le-Vieux,764.00000000000,78443,577.00000000000,707.00000000000,1.85927658266647,48.815384461937,63.2499934619658,1.78571428571429,25,1.624,691,704,577,549,526,493,29687,10.7913669064748
Boissy-sans-Avoir,407.30000000000,78084,423.00000000000,519.00000000000,1.79814821017811,48.8211823149994,32.1455349566818,17.2413788483099,27,2.1063829787234,595,519,423,380,392,357,27721,4.20354986608561
Villeneuve-Saint-Denis,741.80000000000,77510,559.00000000000,670.00000000000,2.7926921610404,48.8131628306009,0,10.9374994171456,163,0.972649572649573,702,670,559,475,380,357,26385,19.9121522693997
Le Plessis-Trévise,432.30000000000,94059,14583.00000000000,16656.00000000000,2.57644625223509,48.8059241774122,48.8534361487382,43.2840243630951,837,1.74804999530119,18876,16651,14583,13565,12991,8392,23847,64.4323793796445
